event_id,symbol,entry_day,exit_day,holding_days,entry_date,exit_date,ex_date,entry_price,exit_price,raw_return,net_return,daily_net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend,dividend_yield_on_entry,etf_name,entry_year,strategy_entry_day,strategy_exit_day,strategy_holding_days,exit_year,category
0056_20161026,0056,-10,-1,9,2016-10-12,2016-10-25,2016-10-26,12.113459587097168,12.297804832458496,0.015218216070798318,0.013618216070798318,0.0015131351189775909,0.0016,0.0088,0.007200000000000001,1.206082121578237,1.3,0.052062476401620573,元大高股息,2016,-10,-1,9,2016,high_dividend
0056_20171030,0056,-10,-1,9,2017-10-16,2017-10-27,2017-10-30,13.489234924316406,13.494348526000977,0.0003790875993532339,-0.0012209124006467662,-0.00013565693340519624,-0.0042,0.0053,0.0095,1.2494282234780223,0.95,0.03601213154748232,元大高股息,2017,-10,-1,9,2017,high_dividend
0056_20181023,0056,-10,-1,9,2018-10-08,2018-10-22,2018-10-23,14.162704467773438,13.69061279296875,-0.03333344107256564,-0.03493344107256564,-0.003881493452507293,0.0191,0.0113999999999999,-0.007700000000000099,11.92999592827566,1.45,0.05430711455306965,元大高股息,2018,-10,-1,9,2018,high_dividend
00713_20181122,00713,-10,-1,9,2018-11-08,2018-11-21,2018-11-22,17.05845069885254,17.26641082763672,0.012191032612250519,0.010591032612250518,0.0011767814013611687,-0.0034,0.0132,0.0166,0.0,1.55,0.05248899302264371,元大台灣高息低波,2018,-10,-1,9,2018,high_dividend
0056_20191023,0056,-10,-1,9,2019-10-07,2019-10-22,2019-10-23,15.97238063812256,16.31520652770996,0.021463668901625654,0.019863668901625654,0.0022070743224028504,0.0018,0.0028,0.001,5.36385086937478,1.8,0.06333567892920025,元大高股息,2019,-10,-1,9,2019,high_dividend
00713_20191122,00713,-10,-1,9,2019-11-08,2019-11-21,2019-11-22,20.483301162719727,20.50767135620117,0.0011897590768130684,-0.0004102409231869317,-4.5582324798547966e-05,0.0066,0.0098999999999999,0.0032999999999999002,2.859077571288842,1.6,0.04759072132160543,元大台灣高息低波,2019,-10,-1,9,2019,high_dividend
0056_20201028,0056,-10,-1,9,2020-10-14,2020-10-27,2020-10-28,17.81910514831543,17.789148330688477,-0.0016811628517600097,-0.0032811628517600095,-0.0003645736501955566,0.0027,0.0037,0.001,0.7929610775501974,1.6,0.053799596917072985,元大高股息,2020,-10,-1,9,2020,high_dividend
00878_20201117,00878,-10,-1,9,2020-11-03,2020-11-16,2020-11-17,9.709765434265137,10.10457706451416,0.040661294335263554,0.039061294335263556,0.004340143815029284,-0.0055,-0.0092,-0.0037,0.6953303846803998,0.05,0.0034458993253822356,國泰永續高股息,2020,-10,-1,9,2020,high_dividend
00713_20201120,00713,-10,-1,9,2020-11-06,2020-11-19,2020-11-20,22.18998908996582,22.631357192993164,0.019890415503941217,0.018290415503941216,0.002032268389326802,-0.008,0.0031,0.0111,1.504863472694539,1.7,0.04900547902273808,元大台灣高息低波,2020,-10,-1,9,2020,high_dividend
00878_20210225,00878,-10,-1,9,2021-02-02,2021-02-24,2021-02-25,11.15196418762207,11.66222858428955,0.04575556270471526,0.04415556270471526,0.004906173633857251,-0.006,0.0012,0.0072,0.49919934662609916,0.15,0.00903070406310028,國泰永續高股息,2021,-10,-1,9,2021,high_dividend
