strategy,trade_count,symbol_count,avg_return,median_return,win_rate,std_return,min_return,max_return,profit_factor,avg_holding_days,start_date,end_date
naive_all_etf,198,10,0.011894477815741667,0.008513569346768769,0.6363636363636364,0.0383583240247195,-0.22276400250861966,0.14713430533941435,2.5167078518838615,9.0,2016-04-19,2026-04-30
filtered_all_etf,111,6,0.01732587950699608,0.013618216070798318,0.7117117117117117,0.031610951311363336,-0.06983018867981179,0.14274803631674687,4.801580668714345,9.0,2016-07-14,2026-04-22
market_cap_core,39,2,0.024270928222332195,0.02090017344828037,0.8205128205128205,0.03417790754505757,-0.03819175384057711,0.14274803631674687,9.287015589443783,9.0,2016-07-14,2026-01-21
high_dividend_core,72,4,0.013563978119522343,0.012089859065601161,0.6527777777777778,0.029700092369277856,-0.06983018867981179,0.11307407488551662,3.493474979122719,9.0,2016-10-12,2026-04-22
