strategy,basket_count,total_return,avg_basket_return,median_basket_return,basket_win_rate,max_drawdown,profit_factor,avg_trades_per_basket,start_date,end_date
naive_all_etf,174,3.80672160332714,0.009782564413916083,0.006983666458308548,0.6149425287356322,-0.275551784907092,2.188526019905092,1.1379310344827587,2016-04-19,2026-04-30
filtered_all_etf,91,2.524231622318869,0.014378596625297758,0.012231118449104673,0.6813186813186813,-0.08708820054689781,3.9117928758882656,1.2197802197802199,2016-07-14,2026-04-22
market_cap_core,35,1.178842669742186,0.023076026332609623,0.020412527456437336,0.8,-0.03819175384057716,8.070925038187518,1.1142857142857143,2016-07-14,2026-01-21
high_dividend_core,68,1.1962536700511328,0.01206267818377821,0.010179718776488312,0.6323529411764706,-0.09214114680819907,3.0942961384196126,1.0588235294117647,2016-10-12,2026-04-22
