monthly_buffer_days,total_event_count,total_symbol_count,total_excess_daily_return_mean,total_excess_win_rate,total_avg_random_sample_count,total_t_stat,total_p_value,monthly_event_count,monthly_symbol_count,monthly_excess_daily_return_mean,monthly_excess_win_rate,monthly_avg_random_sample_count,monthly_t_stat,monthly_p_value
5,198,10,0.0008743786208524805,0.5707070707070707,416.27272727272725,2.7903423941749264,0.0028913637098721473,76,3,7.765032592250916e-05,0.5526315789473685,273.9078947368421,0.14217559477136094,0.4436612745636944
7,195,10,0.0010557895192013415,0.5794871794871795,363.89230769230767,3.1830667487780335,0.0008487482167342584,73,3,0.0005294988230901531,0.5753424657534246,128.13698630136986,0.8421019137214089,0.20125970642083174
10,139,10,0.0011217810143684536,0.5683453237410072,481.2661870503597,3.2869907008722037,0.000642192401099523,17,3,-0.0006645871271450213,0.47058823529411764,311.2352941176471,-0.9975004474080589,0.8333153734490781
15,139,10,0.0011293803155886988,0.5683453237410072,477.72661870503595,3.3084802390967503,0.0005982489546359441,17,3,-0.0006024516642265465,0.47058823529411764,282.29411764705884,-0.8869019950264959,0.8058656212290893
20,139,10,0.0011100277038339993,0.5611510791366906,475.52517985611513,3.25182456513455,0.0007206528529878657,17,3,-0.0007606877250443842,0.4117647058823529,264.29411764705884,-1.1660181266641245,0.8696526271647523
