buffer_days,event_count,symbol_count,excess_daily_return_mean,excess_daily_return_median,excess_win_rate,avg_random_sample_count,t_stat,p_value
20,139,10,0.0010951379629602043,0.0005553155926932477,0.5755395683453237,554.5755395683453,3.157229511541873,0.0009782368737873744
30,136,10,0.0011781878381314516,0.0006699011496448713,0.5661764705882353,423.2720588235294,3.3792425161422908,0.0004752258629222625
45,82,9,0.001206584540251916,0.0005281356313247402,0.573170731707317,473.1951219512195,2.5552619940885277,0.006240781171170964
60,82,9,0.0013526272869324113,0.0006348368789338729,0.6219512195121951,365.0975609756098,2.7939531126396675,0.003248419272163782
