event_id,symbol,etf_name,ex_date,dividend,premium_day_minus_1,premium_day_0,premium_day_5,premium_change_0_to_5,ret_0_to_3,ret_0_to_5,ret_0_to_10,premium_group
00713_20250321,00713,元大台灣高息低波,2025-03-21,1.4,0.0025,0.0007,0.0019,0.0012000000000000001,-0.001860458692049316,-0.00837210205953498,-0.10418599031726683,low_premium
00713_20250620,00713,元大台灣高息低波,2025-06-20,1.1,0.0037,0.003,-0.003,-0.006,0.000994923609442644,0.0039800916762957605,0.013930360590887592,high_premium
00713_20250919,00713,元大台灣高息低波,2025-09-19,0.78,-0.0037,-0.0014,-0.0027,-0.0013000000000000002,0.007812463399718084,-0.0009765195246688174,0.003906231699859042,low_premium
00878_20210225,00878,國泰永續高股息,2021-02-25,0.15,0.0012,-0.0011,0.0012,0.0023,-0.010900831589427229,-0.024670171256540918,0.004015878993005373,low_premium
00878_20210518,00878,國泰永續高股息,2021-05-18,0.25,0.0063,0.0011,0.0,-0.0011,0.0033519506286914247,0.012290485638535076,0.031843569744060884,high_premium
00878_20210817,00878,國泰永續高股息,2021-08-17,0.3,0.0121999999999999,0.0034,0.0023,-0.0010999999999999998,-0.01522866285587543,0.0016919880994914482,0.02538059145282312,high_premium
00878_20211116,00878,國泰永續高股息,2021-11-16,0.28,0.0021,0.0011,0.0,-0.0011,0.006996757709542001,0.002153227140853309,-0.008611316153937398,low_premium
00878_20220222,00878,國泰永續高股息,2022-02-22,0.3,0.0040999999999999,0.0062,0.0005,-0.0057,-0.01756222015271902,-0.0036157170025034047,-0.037706948712614374,high_premium
00878_20220518,00878,國泰永續高股息,2022-05-18,0.32,0.0045,-0.0011,0.0029,0.004,-0.0135287606596457,-0.014655876311155502,0.009019271536619744,high_premium
00878_20220816,00878,國泰永續高股息,2022-08-16,0.28,0.0034999999999999,0.0029,0.0040999999999999,0.0011999999999999,0.002920574152092792,-0.005256973673420928,-0.00817762257594623,high_premium
00878_20221116,00878,國泰永續高股息,2022-11-16,0.28,0.0006,,0.0037,,-0.01644336898815779,-0.008526043732242083,0.014007115637734824,low_premium
00878_20230216,00878,國泰永續高股息,2023-02-16,0.27,0.0034999999999999,0.0029,,,0.00528479376504154,0.00822075797753663,0.011743856849980805,high_premium
00878_20230517,00878,國泰永續高股息,2023-05-17,0.27,0.0006,0.0006,-0.0044,-0.005,0.010089560448841128,0.007847420708446018,0.02634521033257964,low_premium
