entry_day,exit_day,holding_days,event_count,symbol_count,actual_daily_return_mean,placebo_daily_return_mean,excess_daily_return_mean,excess_daily_return_median,excess_win_rate,avg_random_sample_count,min_random_sample_count,avg_buffer_days_used,t_stat,p_value,sharpe_like
-5,-1,4,196,10,0.0006318640935625283,0.00017702752341145178,0.0004548365701510767,0.0007421849802772234,0.5867346938775511,416.68367346938777,30,20.714285714285715,0.9547257580058393,0.1704492156809816,0.0681946970004171
-10,-1,9,139,10,0.0016435762042995145,0.0005217951899310605,0.0011217810143684536,0.0006072927466209805,0.5683453237410072,481.2661870503597,115,25.107913669064747,3.2869907008722037,0.000642192401099523,0.2787989124440812
-20,-1,19,133,10,0.0012006274527989887,0.0006371669690894889,0.0005634604837094998,0.0004073505913957345,0.5488721804511278,399.6015037593985,30,24.586466165413533,2.3313276094408084,0.010625409402336689,0.20215174123729593
-30,-1,29,113,9,0.0009831135032006774,0.00048177764155998474,0.0005013358616406925,0.0004596265130558622,0.5575221238938053,382.46017699115043,30,24.513274336283185,2.7293677128798013,0.0036855863710438964,0.2567573164998439
-50,-1,49,89,9,0.0008363655600290391,0.000493100265260973,0.00034326529476806617,-4.919024090620249e-05,0.48314606741573035,373.5056179775281,83,25.50561797752809,1.7543057917626055,0.041429615813474444,0.18595604201512406
