event_id,symbol,etf_name,ex_date,dividend,entry_day,exit_day,holding_days,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend_yield_on_entry,entry_year
0056_20161026,0056,元大高股息,2016-10-26,1.3,-10,-1,9,2016-10-12,2016-10-25,12.113459587097168,12.297804832458496,0.015218216070798318,0.013618216070798318,0.0016,0.0088,0.007200000000000001,0.9328391726390068,0.052062476401620573,2016
0056_20171030,0056,元大高股息,2017-10-30,0.95,-10,-1,9,2017-10-16,2017-10-27,13.489234924316406,13.494348526000977,0.0003790875993532339,-0.0012209124006467662,-0.0042,0.0053,0.0095,1.3955151575171219,0.03601213154748232,2017
0056_20181023,0056,元大高股息,2018-10-23,1.45,-10,-1,9,2018-10-08,2018-10-22,14.162704467773438,13.69061279296875,-0.03333344107256564,-0.03493344107256564,0.0191,0.0113999999999999,-0.007700000000000099,10.685149260323296,0.05430711455306965,2018
0056_20191023,0056,元大高股息,2019-10-23,1.8,-10,-1,9,2019-10-07,2019-10-22,15.97238063812256,16.31520652770996,0.021463668901625654,0.019863668901625654,0.0018,0.0028,0.001,6.258409381254589,0.06333567892920025,2019
0056_20201028,0056,元大高股息,2020-10-28,1.6,-10,-1,9,2020-10-14,2020-10-27,17.81910514831543,17.789148330688477,-0.0016811628517600097,-0.0032811628517600095,0.0027,0.0037,0.001,0.6648804482067843,0.053799596917072985,2020
0056_20211022,0056,元大高股息,2021-10-22,1.8,-10,-1,9,2021-10-07,2021-10-21,20.62629508972168,20.518630981445312,-0.005219750217285379,-0.006819750217285379,0.0065,0.0065,0.0,5.358945186472133,0.055265582341594024,2021
0056_20221019,0056,元大高股息,2022-10-19,2.1,-10,-1,9,2022-10-04,2022-10-18,17.61517906188965,17.326847076416016,-0.016368382317352492,-0.017968382317352493,0.0034,0.0039,0.0005,4.9846593094018425,0.07993909263063523,2022
0056_20230718,0056,元大高股息,2023-07-18,1.0,-10,-1,9,2023-07-04,2023-07-17,24.749509811401367,26.23112297058105,0.0598643435958941,0.0582643435958941,0.0018,-0.0011,-0.0029,3.445771490862602,0.029489826142724575,2023
0056_20231019,0056,元大高股息,2023-10-19,1.2,-10,-1,9,2023-10-03,2023-10-18,26.726619720458984,26.20109367370605,-0.019663019575597462,-0.021263019575597463,0.0023,0.004,0.0017000000000000001,1.8788821509991338,0.03370786661331805,2023
0056_20240117,0056,元大高股息,2024-01-17,0.7,-10,-1,9,2024-01-03,2024-01-16,28.517986297607425,28.27696418762207,-0.008451582361745369,-0.01005158236174537,0.0025,0.005,0.0025,3.6841824423921645,0.019083969306871177,2024
0056_20240418,0056,元大高股息,2024-04-18,0.79,-10,-1,9,2024-04-02,2024-04-17,31.61439514160156,30.869216918945312,-0.02357085180085139,-0.02517085180085139,-0.001,0.0044,0.0054,0.9011840154218901,0.019809427754294093,2024
0056_20240716,0056,元大高股息,2024-07-16,1.07,-10,-1,9,2024-07-02,2024-07-15,33.256221771240234,34.28384780883789,0.03090026415707703,0.029300264157077028,0.0017,0.0045,0.0027999999999999995,3.189739335564483,0.026034064226881502,2024
0056_20241017,0056,元大高股息,2024-10-17,1.07,-10,-1,9,2024-09-30,2024-10-16,32.09233474731445,32.39117813110352,0.00931198637126518,0.00771198637126518,0.0089,0.0069999999999999,-0.0019000000000000995,1.6224735629655997,0.027677185830915763,2024
0056_20250117,0056,元大高股息,2025-01-17,1.07,-10,-1,9,2025-01-03,2025-01-16,31.39255714416504,31.05968475341797,-0.010603544949154942,-0.012203544949154942,,,,1.8474091258049663,0.029091898736067743,2025
0056_20250423,0056,元大高股息,2025-04-23,1.07,-10,-1,9,2025-04-09,2025-04-22,25.229398727416992,28.122556686401367,0.11467407488551662,0.11307407488551662,0.0095,0.005,-0.0045,13.16926370896771,0.03729522412276757,2025
