condition,threshold,event_count,symbol_count,actual_daily_return_mean,placebo_daily_return_mean,excess_daily_return_mean,excess_daily_return_median,excess_win_rate,t_stat,p_value
entry_volume_ratio_below_q0.5,1.2989834467304364,70,10,0.0018516322820959564,0.0006527793160932773,0.0011988529660026796,0.0005626677868234366,0.5857142857142857,2.509700616071923,0.007216906202115148
entry_volume_ratio_above_q0.5,1.2989834467304364,70,9,0.0014215104613484373,0.0003909112678148005,0.0010305991935336367,0.0007579761869551793,0.5571428571428572,2.128829811116743,0.018420162467584465
entry_premium_below_q0.5,0.0008,66,10,0.0017060579890931685,0.0005043185349993158,0.0012017394540938522,0.0010094280283503513,0.5909090909090909,2.2811823681854397,0.012911226219421095
entry_premium_above_q0.5,0.0008,66,8,0.0017936055916267834,0.0005679695415840815,0.0012256360500427022,0.0009401146949177859,0.5606060606060606,2.5024323832344026,0.007429406304825522
dividend_yield_on_entry_below_q0.5,0.023013892836012437,70,9,0.0016862561664644114,0.000515448433996087,0.0011708077324683241,0.0006699011496448713,0.5714285714285714,2.3309018801692623,0.011343679251386274
dividend_yield_on_entry_above_q0.5,0.023013892836012437,70,7,0.0017179429431313223,0.0004739321772295035,0.001244010765901819,0.0007634426776197207,0.5714285714285714,2.540613937747768,0.006659669651207288
