entry_day,exit_day,holding_days,trade_count,avg_net_return,median_net_return,win_rate,total_net_return_sum,std_net_return,min_net_return,max_net_return,profit_factor
-10,-1,9,88.0,0.011846930481111672,0.007751858760308307,0.625,1.042529882337827,0.030906481611773017,-0.06983018867981179,0.11307407488551662,2.813088796561967
-10,-2,8,88.0,0.010992836567432355,0.006905969179943951,0.6136363636363636,0.9673696179340472,0.029359128738457852,-0.050989554305960035,0.12666760308149622,2.7771606755389504
-9,-1,8,88.0,0.010174848844254035,0.009853937617516451,0.6477272727272727,0.8953866982943551,0.030257409466631743,-0.07637487795285909,0.12246274291451202,2.501123550470332
-10,-3,7,88.0,0.009680455443166506,0.004159011824059357,0.6022727272727273,0.8518800789986525,0.028700052748233517,-0.051173506431819345,0.13782136028875064,2.757852666664815
-9,-2,7,88.0,0.009322554518751061,0.007377392600639789,0.6363636363636364,0.8203847976500934,0.02872737002127547,-0.05933760759937574,0.13132462514920956,2.469925927953567
-8,-1,7,88.0,0.008538538466509281,0.01113453727896212,0.6590909090909091,0.7513913850528168,0.026590498371412193,-0.07526165908185918,0.07638439804112877,2.2819298951751086
-9,-3,6,88.0,0.007990830472316534,0.0027405140852827985,0.5909090909090909,0.703193081563855,0.027164446910347292,-0.0542034299379009,0.12996086899017084,2.426123091071318
-10,-4,6,88.0,0.007820819804088537,0.004203862420984962,0.6477272727272727,0.6882321427597913,0.02707567547990582,-0.054706971254024746,0.13468440387433095,2.4573133031364875
-8,-2,6,88.0,0.007666703615240537,0.008216077971969816,0.6590909090909091,0.6746699181411673,0.023882389381659257,-0.057997931932596454,0.06438675613589444,2.276513704366734
-7,-1,6,88.0,0.006606244669001295,0.008521964192294496,0.6590909090909091,0.5813495308721139,0.025144953217067046,-0.08880608995424318,0.08485701658844773,1.9908044377224026
-8,-3,5,88.0,0.006328787735800158,0.005180706754735855,0.625,0.5569333207504139,0.02157385716839704,-0.056713730322334906,0.06580688690007234,2.1984127107721902
-10,-5,5,88.0,0.006195915749139577,0.002822227616620811,0.5909090909090909,0.5452405859242828,0.024622687453962806,-0.05066384034338651,0.14339816329213667,2.2770848070298295
-9,-4,5,88.0,0.006139890489875591,0.004107637870010052,0.5681818181818182,0.540310363109052,0.025741706809580052,-0.0567140581651689,0.14223085787499962,2.1042605643495698
-6,-1,5,88.0,0.005810107268152656,0.008094825749085311,0.6818181818181818,0.5112894395974337,0.023772584713350715,-0.09401940244480118,0.08158263601430664,1.9515296947169962
-7,-2,5,88.0,0.005727931271980369,0.008490857340130376,0.6818181818181818,0.5040579519342725,0.021899895107879812,-0.059041059159307414,0.07276507698881711,1.951396507196702
-6,-2,4,88.0,0.0049267639842948815,0.006156592575305033,0.7159090909090909,0.43355523061794954,0.020036765618878016,-0.0644243710386841,0.06952713928496372,1.9416737952939813
-9,-5,4,88.0,0.004514991341268792,0.0017490241788938223,0.5681818181818182,0.3973192380316537,0.023012871062104045,-0.040880590816634484,0.14700251250890478,1.8810590214983764
-8,-4,4,88.0,0.004462081429189371,0.0034541953824729814,0.6136363636363636,0.39266316576866467,0.01868629647950748,-0.0519442714555129,0.04689034283641185,1.935827790763929
-7,-3,4,88.0,0.004384054512827282,0.00491129021993957,0.5909090909090909,0.3857967971288008,0.018877327632672844,-0.07052935923091404,0.05413416816332544,1.8728642293051385
-5,-1,4,88.0,0.004018742470153766,0.005889435558306723,0.6477272727272727,0.35364933737353144,0.019358254466436662,-0.0815997569072255,0.06171367369998131,1.7673448945349723
-6,-3,3,88.0,0.0035920626644065923,0.004143207983744836,0.6022727272727273,0.3161015144677801,0.017155782969672323,-0.07584705706795376,0.047827434200141954,1.8133670321910462
-5,-2,3,88.0,0.0031516782742415676,0.003238618969035924,0.6704545454545454,0.27734768813325794,0.0154836450284835,-0.0515997368965398,0.04987931254116167,1.7021908695555321
-8,-5,3,88.0,0.0028368717509368035,0.002707088363292966,0.6477272727272727,0.2496447140824387,0.014472935732552445,-0.039514673609850566,0.04303725211580516,1.6794057238260396
-7,-4,3,88.0,0.0025334912554383767,0.0031150709207424148,0.5568181818181818,0.22294723047857715,0.016367345058176757,-0.0658296368772718,0.038593052009986244,1.5340661645022857
-4,-1,3,88.0,0.002396668647526441,0.004164385713171061,0.6022727272727273,0.21090684098232682,0.015582728009648156,-0.04784585971292283,0.04621348051589052,1.487888394979008
-5,-3,2,88.0,0.00183826835413425,0.0019711100744815207,0.5795454545454546,0.161767615163814,0.013120673956102127,-0.06317873489628652,0.041406568970358486,1.4914029992391704
-6,-4,2,88.0,0.0017422210618702777,0.001676427330701992,0.5795454545454546,0.15331545344458444,0.01433280316010418,-0.0711741766125525,0.0355040802895859,1.432713622060577
-4,-2,2,88.0,0.0015470358709202597,0.0021944418816429072,0.625,0.13613915664098286,0.011745860329052166,-0.03886855461303813,0.03455163184205894,1.4320135091301083
-7,-5,2,88.0,0.0009080962299931668,0.0010054012013552174,0.5227272727272727,0.07991246823939868,0.01111880282055184,-0.03722939219715022,0.025838950396151406,1.237055391174328
-3,-1,2,88.0,0.0005529887330382847,0.0011371746551551056,0.5795454545454546,0.04866300850736906,0.012734838685934302,-0.044673578419447364,0.030947158689530064,1.1330211336584193
-4,-3,1,88.0,0.0002325662176060907,-0.0003575186502023473,0.4772727272727273,0.02046582714933598,0.008060070519074024,-0.029495929083468608,0.018870075872457637,1.079539459147593
-6,-5,1,88.0,0.00012060569451230124,-0.0006161217545352469,0.48863636363636365,0.010613301117082509,0.008181853208949213,-0.027979070683251183,0.01993727374818337,1.03972543409224
-5,-4,1,88.0,-3.1506714836764077e-06,0.000593544634264688,0.5681818181818182,-0.0002772590905635239,0.009712948384571986,-0.058441909135033616,0.020484423277804798,0.9989593770146767
-3,-2,1,88.0,-0.00028895963632003565,0.0005280429412128265,0.5454545454545454,-0.025428447996163138,0.008382078458174378,-0.032431873711670174,0.01907766133954829,0.9054531533319771
-2,-1,1,88.0,-0.0007713649377709887,-4.9339918079270616e-05,0.5,-0.067880114523847,0.008207948720177945,-0.033178959686475946,0.01927367781794347,0.7692353208140155
