event_id,symbol,entry_date,exit_date,ex_date,entry_year,entry_day,exit_day,holding_days,buffer_days_used,actual_net_return,actual_daily_return,matched_placebo_mean_daily_return,matched_placebo_median_daily_return,event_excess_daily_return,event_excess_daily_return_vs_median,random_sample_count,entry_premium,exit_premium,entry_volume_ratio,dividend_yield_on_entry,etf_name,category
0050_20160728,0050,2016-07-14,2016-07-27,2016-07-28,2016,-10,-1,9,30,0.027941922102924944,0.003104658011436105,0.0004983840836072756,0.0006036060569047487,0.0026062739278288295,0.002501051954531356,758,-0.0019,-0.0053,0.7733945520151801,0.05022156799503785,元大台灣50,market_cap
0050_20170208,0050,2017-01-17,2017-02-07,2017-02-08,2017,-10,-1,9,30,0.012231118449104673,0.0013590131610116303,0.0002632315367088312,8.519875275572942e-05,0.0010957816243027992,0.001273814408255901,618,-0.0033,-0.0045,0.527320222255304,0.09405255481292367,元大台灣50,market_cap
0050_20170731,0050,2017-07-17,2017-07-28,2017-07-31,2017,-10,-1,9,30,-0.002816428871267827,-0.0003129365412519808,0.0003048424426144797,2.821753292455847e-05,-0.0006177789838664604,-0.00034115407417653924,631,-0.0013,-0.0032,0.8816489813190571,0.03406326160526551,元大台灣50,market_cap
0050_20180129,0050,2018-01-15,2018-01-26,2018-01-29,2018,-10,-1,9,30,0.032068042156910885,0.0035631157952123204,-0.001352442589453145,-0.0011256650007622473,0.004915558384665466,0.0046887807959745675,605,-0.0044,0.0036,0.7749065494719298,0.10395747006938559,元大台灣50,market_cap
0050_20180723,0050,2018-07-09,2018-07-20,2018-07-23,2018,-10,-1,9,30,0.027579306190599385,0.0030643673545110426,-0.001171313168926529,-0.0011256650007622473,0.004235680523437571,0.00419003235527329,605,0.0019,-0.0021,1.745928939004854,0.03404255319148936,元大台灣50,market_cap
0050_20190122,0050,2019-01-08,2019-01-21,2019-01-22,2019,-10,-1,9,30,0.03709646731099885,0.004121829701222095,0.0012812100411056246,0.001524850268169341,0.00284061966011647,0.0025969794330527535,639,0.0012,,1.2848390924845545,0.12491513658376954,元大台灣50,market_cap
0050_20190719,0050,2019-07-05,2019-07-18,2019-07-19,2019,-10,-1,9,30,0.008167918480519499,0.0009075464978354999,0.0013169264130216919,0.001561055505043971,-0.000409379915186192,-0.0006535090072084712,629,-0.0013,-0.004,0.21049116950906802,0.03418803355107693,元大台灣50,market_cap
0050_20200131,0050,2020-01-08,2020-01-30,2020-01-31,2020,-10,-1,9,30,-0.03819175384057711,-0.004243528204508568,0.0009944742586555273,0.0016026889255906342,-0.005238002463164095,-0.005846217130099202,617,0.0023,0.0013,2.3647136319559987,0.12127548159904131,元大台灣50,market_cap
0050_20200721,0050,2020-07-07,2020-07-20,2020-07-21,2020,-10,-1,9,30,0.025384242773749666,0.0028204714193055184,0.0008517370889530127,0.0016494141893259274,0.0019687343303525055,0.001171057229979591,616,-0.0016,-0.0023,1.4000694215753329,0.029629629629629627,元大台灣50,market_cap
0050_20210122,0050,2021-01-08,2021-01-21,2021-01-22,2021,-10,-1,9,30,0.08833910526393245,0.009815456140436938,6.0614273925988445e-05,0.0006228134043150185,0.00975484186651095,0.00919264273612192,600,-0.0008,0.0029,2.1328971840623536,0.09298780704097763,元大台灣50,market_cap
0050_20210721,0050,2021-07-07,2021-07-20,2021-07-21,2021,-10,-1,9,30,-0.014549746378878247,-0.0016166384865420275,0.00043008903032186333,0.000693062271744142,-0.002046727516863891,-0.0023097007582861696,614,-0.0040999999999999,-0.0007,0.8891842617612573,0.010071942446043165,元大台灣50,market_cap
