symbol,etf_name,ex_date,record_date,pay_date,dividend,source,source_url,scraped_at
6208,富邦台50,2025/7/16,2025/7/22,2025/8/8,0.989,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
6208,富邦台50,2025/11/18,2025/11/24,2025/12/11,3.448,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
713,元大台灣高息低波,2018/11/22,2018/11/28,2018/12/25,1.55,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2018&endDate=2018,40:27.4
713,元大台灣高息低波,2019/11/22,2019/11/30,2019/12/23,1.6,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2019&endDate=2019,40:28.9
713,元大台灣高息低波,2020/11/20,2020/11/28,2020/12/21,1.7,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2020&endDate=2020,40:30.6
713,元大台灣高息低波,2021/11/19,2021/11/27,2021/12/20,3.15,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2021&endDate=2021,40:32.2
713,元大台灣高息低波,2022/9/19,2022/9/25,2022/10/24,1.45,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
713,元大台灣高息低波,2022/12/16,2022/12/24,2023/1/16,1.45,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2022&endDate=2022,40:33.7
713,元大台灣高息低波,2023/3/17,2023/3/25,2023/4/25,0.68,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
713,元大台灣高息低波,2023/6/16,2023/6/24,2023/7/14,0.68,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
713,元大台灣高息低波,2023/9/18,2023/9/24,2023/10/17,0.84,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
713,元大台灣高息低波,2023/12/18,2023/12/24,2024/1/12,0.84,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2023&endDate=2023,40:35.6
713,元大台灣高息低波,2024/3/18,2024/3/24,2024/4/15,0.88,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
713,元大台灣高息低波,2024/6/19,2024/6/25,2024/7/15,1.5,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
713,元大台灣高息低波,2024/9/18,2024/9/24,2024/10/15,1.5,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
713,元大台灣高息低波,2024/12/17,2024/12/23,2025/1/13,1.4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
713,元大台灣高息低波,2025/3/21,2025/3/29,2025/4/15,1.4,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
713,元大台灣高息低波,2025/6/20,2025/6/28,2025/7/11,1.1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
713,元大台灣高息低波,2025/9/19,2025/9/27,2025/10/15,0.78,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
713,元大台灣高息低波,2025/12/19,2025/12/27,2026/1/12,0.78,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
