date,price_0050,price_006208,close_0050,close_006208,nav_0050,nav_006208,premium_0050,premium_006208,volume_0050,volume_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2024-01-02,31.66864967346192,73.33676147460938,33.724998474121094,76.9000015258789,135.45,77.25,-0.0040999999999999,-0.0045,23688304,2839850,,,,,0.00040000000000009993,,,,0,,,0.0,,0.0,0.0,,1.0,1.0,0.0
2024-01-03,31.116973876953125,72.09698486328125,33.13750076293945,75.5999984741211,132.66,75.65,-0.0008,-0.0007,54189900,6382057,,,,,-0.00010000000000000005,,,,0,-0.017420250064248743,-0.016905254423558946,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-01-04,31.105234146118164,72.04930877685547,33.125,75.55000305175781,132.86,75.77,-0.0027,-0.0029,18270372,2976905,,,,,0.00019999999999999966,,,,0,-0.00037727739469084476,-0.0006612771188169164,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-05,31.0230712890625,71.85856628417969,33.037498474121094,75.3499984741211,132.22,75.4,-0.0005,-0.0007,15998684,2577533,,,,,0.00019999999999999998,,,,0,-0.002641447952768994,-0.002647388238886994,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-08,31.163923263549805,72.38308715820312,33.1875,75.9000015258789,133.01,75.84,-0.002,0.0008,37578880,4169890,,,,,-0.0028,,,,0,0.00454023307927498,0.00729935067099885,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-01-09,31.22261619567871,72.33541107177734,33.25,75.8499984741211,133.05,75.87,-0.0004,-0.0003,22804060,2222119,,,,,-0.00010000000000000005,,,,0,0.001883361463592026,-0.0006586633466126868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-10,31.058284759521484,72.04930877685547,33.07500076293945,75.55000305175781,132.48,75.55,-0.0014,0.0,27125880,2856528,,,,,-0.0014,,,,0,-0.005263218018865756,-0.003955217654572851,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-01-11,31.187402725219727,72.38308715820312,33.212501525878906,75.9000015258789,132.93,75.8,-0.0006,0.0013,22504312,2105103,,,,,-0.0018999999999999998,,,,0,0.004157279344238596,0.0046326382169938896,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-01-12,31.14044761657715,72.19235229492188,33.162498474121094,75.69999694824219,132.76,75.71,-0.0008,-0.0001,25937588,3444011,,,,,-0.0007,,,,0,-0.0015055793217627622,-0.002635074998450615,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-15,31.14044761657715,72.19235229492188,33.162498474121094,75.69999694824219,132.96,75.82,0.0003,0.0017,0,0,,,,,-0.0014,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
