date,price_0050,price_006208,close_0050,close_006208,nav_0050_raw,nav_006208_raw,premium_0050,premium_006208,volume_0050,volume_006208,nav_0050,nav_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,weight_a,weight_b,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2024-05-07,38.46095275878906,89.40599060058594,40.025001525878906,93.75,160.84,94.01,-0.0046,-0.0028,24914944,2818237,40.21,94.01,1.063725537918107,-1.129874978757853,-1.1388161215539294,0.008941142796076385,-0.0018,-0.0021099999999999947,0.001406713227798444,0.22037185253824315,0,,,0.0,0.4845605588661771,0.5154394411338228,,0.0,0.0,,1.0,1.0,0.0
2024-05-08,38.60508728027344,89.7397689819336,40.17499923706055,94.0999984741211,161.34,94.29,-0.004,-0.002,23909068,2383876,40.335,94.29,1.0635863634118279,-1.129472373132152,-1.13824302291397,0.008770649781817852,-0.002,-0.002169999999999995,0.0013730871862531495,0.12380859839198348,0,0.003747554627373084,0.003733288777468813,0.0,0.48459323909596463,0.5154067609040355,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-09,38.55704116821289,89.64440155029297,40.125,94.0,160.46,93.79,0.0002,0.0022,20302276,2445694,40.115,93.79,1.0641408010914715,-1.1320794853518343,-1.1405750246652624,0.008495539313428058,-0.002,-0.002199999999999995,0.001361887235458657,0.14685503674071723,0,-0.0012445539032649444,-0.0010627109109209165,0.0,0.4844630751309321,0.5155369248690679,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-10,38.833309173583984,90.35964965820312,40.41249847412109,94.75,161.79,94.56,-0.0009,0.002,38735812,2787913,40.4475,94.56,1.063719433289207,-1.1314988966000352,-1.139104364419186,0.007605467819150835,-0.0029,-0.002324999999999995,0.0013013656794225476,-0.44184352568384033,0,0.0071651765021547575,0.007978725894097094,0.0,0.48456199223078267,0.5154380077692173,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-13,39.22968673706055,90.9795379638672,40.82500076293945,95.4000015258789,163.6,95.61,-0.0018,-0.0022,36463372,4509173,40.9,95.61,1.0651155107635482,-1.1349131261829224,-1.1460921472863679,0.011179021103445486,0.0004000000000000002,-0.0022399999999999946,0.0014217853861291747,1.8568203230639624,0,0.010207153907609623,0.006860233611007516,0.0,0.48423441438888987,0.5157655856111101,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-14,39.49393844604492,91.6947784423828,41.09999847412109,96.1500015258789,164.79,96.31,-0.0024,-0.0017,30997876,2690743,41.1975,96.31,1.0651497359680386,-1.136695062960976,-1.1467707006205563,0.010075637659580305,-0.0006999999999999999,-0.0020899999999999946,0.0014178931739138665,0.980327732422269,0,0.006736013742743907,0.007861553207707539,0.0,0.484226389294358,0.5157736107056421,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-15,40.03445816040039,92.98223876953124,41.66249847412109,97.5,166.56,97.34,0.0005,0.0016,58324000,4232415,41.64,97.34,1.056805314965687,-1.1001328487073767,-1.1092154219378436,0.009082573230466906,-0.0011,-0.001934999999999995,0.001342532955588824,0.6219586614421475,0,0.013686143636798986,0.014040715829390704,0.0,0.4861908867717422,0.5138091132282577,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-16,40.22664642333984,93.5544204711914,41.86249923706055,98.0999984741211,167.43,97.85,0.0001,0.0026,48239680,7812350,41.8575,97.85,1.0549408552976063,-1.0933651326432492,-1.100982578714785,0.007617446071535916,-0.0025,-0.0018399999999999996,0.0012206124433423121,-0.5407121675679232,0,0.004800571102259843,0.006153666648943457,0.0,0.4866320105622579,0.5133679894377421,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0
2024-05-17,40.1786003112793,93.2683334350586,41.8125,97.8000030517578,166.81,97.48,0.0026,0.0033,18716540,3381637,41.7025,97.48,1.0534952411337914,-1.0847727518096852,-1.0940754825209877,0.009302730711302498,-0.0007000000000000001,-0.00177,0.001244820849507432,0.8595614384378221,0,-0.0011943852230411611,-0.0030579745424312854,0.0,0.48697458848157466,0.5130254115184254,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-05-20,40.16658401489258,93.12528228759766,41.79999923706055,97.6500015258789,166.93,97.56,0.0016,0.0009,27022924,5298248,41.7325,97.56,1.052759726714209,-1.0801200379210085,-1.0908515889934352,0.010731551072426626,0.0007000000000000001,-0.00154,0.001255472232395354,1.7841892016410712,0,-0.0002990720506345079,-0.001533759017582792,0.0,0.4871490739935112,0.5128509260064888,0.0,0.0,0.0,0.0,1.0,1.0,0.0
